occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2007-02-10,CAPITAL MURDER,N,2007-02-10 08:07:00,STREETS / HWY / ROAD / ALLEY,6900 BLOCK BLESSING AVE,78752.0,4.0,ID,1,C,2009-10-20 00:00:00,30.32586381,-97.69723647,2007,2,6,10
2007-04-05,MURDER,Y,2007-04-11 01:31:00,RESIDENCE / HOME,11807 BELL AVE,78759.0,10.0,AD,7,O,2007-04-11 00:00:00,30.42143218,-97.74962406,2007,4,14,5
2007-04-07,MURDER,N,2007-04-07 11:54:00,STREETS / HWY / ROAD / ALLEY,HUNTERS TRCE / COLONY CREEK DR,78758.0,4.0,ED,2,C,2007-04-08 00:00:00,30.36645053,-97.71129774,2007,4,14,7
2007-04-21,CAPITAL MURDER,N,2007-04-21 22:01:00,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,1101 REINLI ST,78723.0,4.0,ID,5,C,2007-11-16 00:00:00,30.31598737,-97.70380532,2007,4,16,21
2007-04-21,CAPITAL MURDER,N,2007-04-22 09:46:00,RESIDENCE / HOME,815 W SLAUGHTER LN,78748.0,5.0,FR,2,C,2007-11-16 00:00:00,30.17368492,-97.8063974,2007,4,16,21
2007-04-22,CAPITAL MURDER,N,2007-04-22 18:54:00,RESIDENCE / HOME,6103 HYSIDE DR,78723.0,1.0,ID,4,C,2007-06-05 00:00:00,30.3060897,-97.67107097,2007,4,16,22
2007-05-12,MURDER,N,2007-05-12 10:45:00,FIELD / WOODS,5400 E RIVERSIDE DR,78741.0,3.0,HE,3,C,2007-07-17 00:00:00,30.22926607,-97.71200371,2007,5,19,12
2007-06-03,MURDER,N,2007-06-03 12:22:00,RESIDENCE / HOME,7306 BENNETT AVE,78752.0,4.0,ID,1,C,2007-06-15 00:00:00,30.33291495,-97.69960572,2007,6,22,3
2007-06-17,MURDER,N,2007-06-17 12:43:00,PARKING LOTS / GARAGE,933 E RUNDBERG LN,78753.0,4.0,ED,3,C,2008-01-09 00:00:00,30.35602394,-97.68519796,2007,6,24,17
2007-06-19,MURDER,N,2007-06-19 21:31:00,PARKING LOTS / GARAGE,907 THOMPSON ST,78702.0,1.0,CH,2,C,2007-12-13 00:00:00,30.27070373,-97.7088221,2007,6,25,19
2007-06-29,MURDER,N,2007-06-29 23:27:00,STREETS / HWY / ROAD / ALLEY,6600 BLOCK DECKER LN,78724.0,1.0,CH,6,C,2008-01-09 00:00:00,30.2902922,-97.6286766,2007,6,26,29
2007-07-03,MURDER,N,2007-07-03 04:16:00,PARKING LOTS / GARAGE,6600 ED BLUESTEIN BLVD SB,78723.0,1.0,CH,4,,,30.30551917,-97.66162802,2007,7,27,3
2007-07-09,MURDER,N,2007-07-09 23:39:00,STREETS / HWY / ROAD / ALLEY,7922 EUDORA LN,78747.0,2.0,FR,7,C,2008-01-09 00:00:00,30.15868487,-97.74147835,2007,7,28,9
2007-07-11,CAPITAL MURDER,N,2007-07-11 04:14:00,RESIDENCE / HOME,11701 METRIC BLVD,78758.0,7.0,ED,4,C,2007-11-06 00:00:00,30.39640062,-97.70517836,2007,7,28,11
2007-07-17,MURDER,N,2007-07-18 10:41:00,LAKE / WATERWAY,W 30TH ST / EAST DR,78705.0,9.0,BA,1,,,30.29538834,-97.73976911,2007,7,29,17
2007-07-18,CAPITAL MURDER,N,2007-07-18 22:19:00,PARKING LOTS / GARAGE,2005 WILLOW CREEK DR,78741.0,3.0,HE,2,C,2007-10-09 00:00:00,30.23205267,-97.72861054,2007,7,29,18
2007-08-04,MURDER,N,2007-08-04 19:16:00,RESIDENCE / HOME,8912 N LAMAR BLVD,78758.0,4.0,ED,1,C,2008-01-15 00:00:00,30.35850639,-97.69996937,2007,8,31,4
2007-08-07,MURDER,N,2007-08-08 07:46:00,RESIDENCE / HOME,2100 WICKERSHAM LN,78741.0,3.0,HE,4,C,2007-12-06 00:00:00,30.23146495,-97.72122433,2007,8,32,7
2007-08-21,MURDER,N,2007-08-26 10:43:00,FIELD / WOODS,THORNHILL DR / ONION CREEK DR,78744.0,2.0,FR,8,C,2008-01-15 00:00:00,30.17333277,-97.74336775,2007,8,34,21
2007-09-08,MURDER,N,2007-09-08 05:00:00,STREETS / HWY / ROAD / ALLEY,2101 BURTON DR,78741.0,3.0,HE,2,C,2008-01-15 00:00:00,30.23255819,-97.73196698,2007,9,36,8
2007-09-11,CAPITAL MURDER,N,2007-09-11 02:21:00,PARKING LOTS / GARAGE,7000 DECKER LN,78724.0,1.0,CH,7,C,2007-11-06 00:00:00,30.29674707,-97.62618511,2007,9,37,11
2007-09-21,MURDER,N,2007-09-21 21:24:00,RESIDENCE / HOME,9200 NORTH PLZ,78753.0,4.0,ED,3,C,2008-01-15 00:00:00,30.35460168,-97.68584909,2007,9,38,21
2007-09-30,MURDER,N,2007-09-30 03:03:00,STREETS / HWY / ROAD / ALLEY,2300 BLOCK BLUE MEADOW DR,78744.0,2.0,FR,8,C,2007-11-23 00:00:00,30.1812736,-97.76346268,2007,9,39,30
2007-10-06,MURDER,N,2007-10-06 16:18:00,STREETS / HWY / ROAD / ALLEY,NORTHLAND DR / N MOPAC EXPY SVRD SB,78731.0,10.0,BA,8,C,2007-10-07 00:00:00,30.33678302,-97.75596236,2007,10,40,6
2007-10-15,MURDER,N,2007-10-15 00:01:00,PARKING LOTS / GARAGE,10503 N LAMAR BLVD,78753.0,4.0,ED,1,N,2007-10-15 00:00:00,30.37381396,-97.69055867,2007,10,42,15
2007-12-15,CAPITAL MURDER,N,2007-12-15 06:25:00,PARKING LOTS / GARAGE,1620 RUTLAND DR,78758.0,4.0,ED,2,C,2008-02-26 00:00:00,30.3725464,-97.71148408,2007,12,50,15
2007-12-23,MURDER,N,2007-12-23 02:49:00,PARKING LOTS / GARAGE,8200 BLOCK SAM RAYBURN DR,78753.0,4.0,ED,1,C,2008-02-01 00:00:00,30.34709494,-97.69969423,2007,12,51,23
2007-12-30,MURDER,Y,2007-12-30 05:11:00,RESIDENCE / HOME,1700 BURTON DR,78741.0,3.0,HE,2,C,2007-12-30 00:00:00,30.23770208,-97.72794502,2007,12,52,30
2008-02-09,MURDER,N,2008-02-09 03:06:00,RESIDENCE / HOME,9402 QUAIL MEADOW DR,78758.0,4.0,ED,2,C,2008-03-22 00:00:00,30.36869482,-97.70820443,2008,2,6,9
2008-02-26,CAPITAL MURDER,N,2008-02-26 02:00:00,BAR / NIGHT CLUB,1500 E 6TH ST,78702.0,3.0,CH,1,C,2009-01-19 00:00:00,30.2634208,-97.72728266,2008,2,9,26
2008-03-03,MURDER,N,2008-03-03 00:43:00,RESIDENCE / HOME,7100 MILLRACE DR,78724.0,1.0,CH,7,C,2008-03-03 00:00:00,30.30875232,-97.65484365,2008,3,10,3
2008-03-23,MURDER,N,2008-03-23 06:05:00,RESIDENCE / HOME,9601 MIDDLE FISKVILLE RD,78753.0,4.0,ED,7,C,2008-03-23 00:00:00,30.35940846,-97.68500671,2008,3,12,23
